Wall time,Step,Value
1652577837.0512779,5,6.3547844886779785
1652577847.7124074,18,6.186437606811523
1652577852.1456351,24,6.884422779083252
1652577863.3733225,40,6.036235809326172
1652577864.6426473,42,6.020325183868408
1652577866.7383726,45,6.140887260437012
1652577868.0661137,47,7.0607805252075195
1652577872.34949,53,6.271390438079834
1652577874.43191,56,5.95529317855835
1652577885.2473156,71,5.883143424987793
1652577887.207629,74,6.0380096435546875
1652577890.4398308,79,5.93870210647583
1652577896.11878,87,5.875768184661865
1652577901.0102823,94,5.884946346282959
1652577906.6482918,102,5.73659610748291
1652577908.6105275,105,5.621166229248047
1652577909.2697213,106,6.050825119018555
1652577914.1592128,113,5.6995849609375
1652577922.9949477,126,5.512562274932861
1652577931.8289933,139,5.814672470092773
1652577939.73338,150,5.639246463775635
1652577943.1578147,155,5.552584648132324
1652577945.1035779,158,5.425422191619873
1652577951.336585,167,5.454497814178467
1652577952.0370505,168,5.510232925415039
1652577959.0490246,178,5.301126480102539
1652577962.648992,183,5.594994068145752
1652577963.9512115,185,5.346163749694824
1652577964.5945182,186,5.227563381195068
1652577967.572557,190,5.256566524505615
1652577972.8071308,198,5.208655834197998
1652577978.4673245,206,5.246207237243652
1652577979.1144662,207,5.127476215362549
1652577983.1484451,212,5.2019124031066895
1652577990.8278506,223,5.277671813964844
1652577994.889074,229,5.208855152130127
1652577998.6359031,234,4.913848400115967
1652578000.6248314,237,5.113905906677246
1652578009.0055199,249,5.486880779266357
1652578013.3716152,255,4.898712635040283
1652578017.2076685,260,5.080812931060791
1652578021.8134055,267,5.004602432250977
1652578024.9412456,271,4.769669055938721
1652578026.2349474,273,4.820372581481934
1652578039.779831,292,4.69237756729126
1652578043.0752242,297,4.7402167320251465
1652578043.897739,298,4.831204414367676
1652578047.846391,303,4.7623796463012695
1652578051.2147374,308,4.627440452575684
1652578053.093249,310,4.880086898803711
1652578058.7983518,318,4.652956485748291
1652578059.4413185,319,4.86879825592041
1652578064.4740317,326,4.524041652679443
1652578067.4777272,330,4.561367511749268
1652578073.8437266,339,4.622186660766602
1652578079.698983,347,4.620753765106201
1652578090.8656633,363,4.569751739501953
1652578093.34344,367,4.501636505126953
1652578100.2388153,377,4.918678283691406
1652578101.4747906,379,4.576223850250244
1652578129.847856,421,4.219400405883789
1652578130.454542,422,4.191501140594482
1652578131.677864,424,4.153477668762207
1652578135.693761,430,4.241586208343506
1652578141.3888724,439,4.082684516906738
1652578143.038302,441,4.096871376037598
1652578143.6795297,442,4.167453765869141
1652578145.894734,445,4.115228652954102
1652578150.3427293,451,4.216541290283203
1652578156.4801307,460,4.027632236480713
1652578158.3760948,463,4.2480010986328125
1652578159.3806365,464,3.984412431716919
1652578166.1635754,474,3.8893795013427734
1652578176.8544343,491,4.46121072769165
1652578178.0663996,493,3.9507784843444824
1652578187.7203705,507,3.7905709743499756
1652578190.879238,512,3.9249937534332275
1652578192.8208594,514,4.084299564361572
1652578194.6319208,517,4.1358137130737305
1652578199.8572903,525,3.7533891201019287
1652578204.360605,531,4.008718967437744
1652578205.7299602,533,3.757014036178589
1652578208.1465304,536,3.8886420726776123
1652578212.635009,542,3.883265495300293
1652578216.3773277,547,4.166675567626953
1652587011.9638567,3,6.505131721496582
1652587014.6587667,9,6.301542282104492
1652587018.0051312,15,6.161195278167725
1652587020.6833327,19,6.532937526702881
1652587025.0988944,25,6.272453308105469
1652587026.554563,27,6.2647833824157715
1652587027.2344131,28,6.247825622558594
1652587028.9938376,30,6.153318405151367
1652587030.3448925,32,6.271576881408691
1652587031.0432856,33,6.266633033752441
1652587035.0015602,38,6.109241962432861
1652587035.6603963,39,6.124138832092285
1652587042.5263824,48,6.106070041656494
1652587046.9174142,54,6.123304843902588
1652587048.2089422,56,6.196112632751465
1652587051.891363,61,6.018939018249512
1652587055.3121402,66,6.090373992919922
1652587056.819954,68,5.997223854064941
1652587067.3415906,80,5.905821800231934
1652587072.2849789,87,5.72215461730957
1652587072.9976256,88,5.755593299865723
1652587074.9063148,90,6.584171772003174
1652587076.4809675,92,6.185498237609863
1652587077.3263743,93,5.752549171447754
1652587078.911872,95,5.9105329513549805
1652587089.1995938,107,5.745443820953369
1652587092.5503051,110,5.5467705726623535
1652587095.619833,114,5.6483001708984375
1652587098.2077608,117,5.639981269836426
1652587100.9430103,120,5.6811604499816895
1652587103.8773785,124,5.536046504974365
1652587104.6083813,125,5.535580158233643
1652587107.5955539,129,5.64130973815918
1652587111.7893136,134,5.559924125671387
1652587120.0942643,145,5.4398393630981445
1652587123.0679061,149,5.429607391357422
1652587125.5142436,152,5.453545570373535
1652587131.558083,160,5.473123073577881
1652587134.2207298,164,5.3704833984375
1652587136.3244612,167,5.255239009857178
1652587136.998725,168,5.246674060821533
1652587137.68717,169,5.664588451385498
1652587142.9418674,176,5.228195667266846
1652587147.6748407,182,5.233898639678955
1652587149.205488,184,5.159099578857422
1652587149.8984973,185,5.466823101043701
1652587152.8583534,189,5.5695953369140625
1652587156.301161,193,5.285460948944092
1652587159.0784721,197,5.201749324798584
1652587159.8057837,198,5.249022006988525
1652587163.1426692,202,5.475497245788574
1652587169.863479,211,5.022863388061523
1652587172.5489419,215,5.855730056762695
1652587173.3050187,216,5.031222343444824
1652587174.0426903,217,5.392830848693848
1652587175.5477,219,4.991497993469238
1652587176.7620094,220,4.988893508911133
1652587181.2146158,226,4.956652641296387
1652587184.4815686,230,4.9548139572143555
1652587185.159423,231,5.142936706542969
1652587186.5654237,233,5.044926166534424
1652587187.9735026,235,5.069220066070557
1652587190.048288,238,4.93825101852417
1652587190.7367465,239,5.18235969543457
1652587191.8382142,240,4.894176959991455
1652587192.496789,241,5.044034004211426
1652587194.579783,244,4.940090656280518
1652587197.4012177,248,5.086130142211914
1652587201.2917833,253,5.116838455200195
1652587201.9926019,254,5.019567012786865
1652587202.679514,255,4.881281852722168
1652587207.2438557,261,5.040041923522949
1652587219.5365202,278,4.609951019287109
1652587222.7112772,282,4.815802574157715
1652587224.1191175,284,4.751429080963135
1652587227.6212182,289,4.87174654006958
1652587245.6274018,313,4.57435941696167
1652587247.0589027,315,4.724544525146484
1652587250.9635723,320,4.864099979400635
1652587252.3129005,322,4.748782157897949
1652587255.1245909,326,4.468835830688477
1652587256.5354037,328,4.42811393737793
1652587262.6694627,336,4.427259922027588
1652587267.2602744,342,5.14617919921875
1652587270.0484178,346,4.356146812438965
1652587275.3179371,353,4.429135322570801
1652587276.7139378,355,4.311234951019287
1652587281.332698,361,4.341472625732422
1652587282.7413044,363,4.482621669769287
1652587284.6832483,366,4.448542594909668
1652587286.611542,369,4.170206069946289
1652587292.1579313,377,4.404786109924316
1652587292.7956946,378,4.248716354370117
1652587295.2126834,381,4.2440948486328125
1652587299.7552567,388,4.278159141540527
1652587302.0540447,391,4.20228385925293
1652587308.2761943,400,4.2540154457092285
1652587311.1152165,404,4.166035175323486
1652587313.045057,407,4.185122489929199
1652587313.692321,408,4.048933506011963
1652587319.9101977,417,4.0985517501831055
1652587320.5673761,418,4.058690547943115
1652587323.592135,422,3.9615187644958496
1652587324.8871088,424,4.063511848449707
1652587325.5299397,425,4.214652061462402
1652587328.140477,429,4.265819549560547
1652587329.1851907,430,4.094295978546143
1652587331.092586,433,3.9760360717773438
1652587331.7451632,434,3.984590530395508
1652587337.268004,442,3.876424789428711
1652587339.871767,446,4.1057634353637695
1652587341.1582267,448,3.9752631187438965
1652587342.8563883,450,3.94614577293396
1652587343.4738355,451,3.9093308448791504
1652587349.802181,460,3.947399139404297
1652587351.745184,463,4.035774230957031
1652587358.5117388,471,3.846186876296997
1652587360.0288491,473,3.7925846576690674
1652587363.930829,478,3.966876983642578
1652587367.2036061,483,4.004222869873047
1652587372.104486,490,3.7268455028533936
1652587380.8703141,503,3.972195625305176
1652587385.159059,509,3.692084550857544
1652587387.0873392,512,3.6876344680786133
1652587388.786512,514,3.7514963150024414
1652587391.3244412,518,3.627183198928833
1652587393.9097753,522,3.5934669971466064
1652587395.5928137,524,3.707412004470825
1652587398.8127415,529,3.7281575202941895
1652587399.4579444,530,3.568507194519043
1652587400.1049876,531,3.525515079498291
1652587405.6745284,539,3.6018576622009277
1652587409.9771812,545,3.5336239337921143
1652587412.5460718,549,4.0161943435668945
1652587413.1865726,550,3.6228432655334473
1652587420.462817,560,3.54813551902771
1652587424.0693293,565,3.7733802795410156
1652587433.503134,579,4.198556423187256
1652587434.7953186,581,3.6360225677490234
1652587448.5154142,601,3.4088521003723145
1652587449.1593933,602,3.5906739234924316
1652587452.1156642,606,3.4680984020233154
1652587452.7609801,607,3.449204444885254
1652587453.4014516,608,3.2728240489959717
1652587465.8058357,626,3.248605966567993
1652587469.0401487,631,3.231135606765747
1652587473.9393313,638,3.222398519515991
1652587474.5896788,639,3.2245805263519287
1652587479.0070236,645,3.263777017593384
1652587480.2944057,647,3.2799761295318604
1652587483.5407884,652,3.2074708938598633
1652587485.2269874,654,3.6219899654388428
1652587501.9186707,678,3.254013776779175
1652587503.2543414,680,3.1231577396392822
1652587504.5527222,682,3.186850070953369
1652587510.135482,690,3.077008008956909
1652587512.0928757,693,3.2968971729278564
1652587517.6523752,701,2.9922072887420654
1652587519.9909422,704,3.3085477352142334
1652587521.9077544,707,2.9945807456970215
1652587530.8033454,720,3.0919225215911865
1652587535.5074675,727,3.109707832336426
1652587539.3894162,733,3.0314717292785645
1652587543.582044,739,2.965151309967041
1652587544.179167,740,2.965117931365967
1652587548.2525048,746,2.966916084289551
1652587554.9243157,756,2.8912856578826904
1652587558.0503066,761,2.861764669418335
1652587558.6545827,762,3.265852689743042
1652587560.9396496,765,2.8619279861450195
1652587564.6859894,771,2.7902069091796875
1652587565.9032152,773,2.957063674926758
1652587568.1061888,776,3.031834125518799
1652587569.9421148,779,2.8678112030029297
1652587571.7910192,782,3.0106120109558105
1652587572.4277601,783,2.782639741897583
1652587584.2724206,801,2.7939701080322266
1652587594.2366793,816,3.3650124073028564
1652587604.2883883,831,2.672006368637085
1652587606.5049005,834,2.6774399280548096
1652587607.0946689,835,2.8063149452209473
1652587608.3492005,837,2.710526704788208
1652587608.9885836,838,2.83842396736145
1652587622.98901,859,2.6277873516082764
1652587623.6507146,860,2.5869271755218506
1652587627.105943,865,2.7368130683898926
1652587628.956784,868,2.675734281539917
1652587631.41987,872,2.608541250228882
1652587633.0587003,874,2.696141242980957
1652587635.5060742,878,2.6761786937713623
1652587638.013288,882,2.6082615852355957
1652587640.8149986,886,2.512655735015869
1652587657.4337025,911,2.6244776248931885
1652587658.0689054,912,3.000730037689209
1652587665.394848,923,2.489590883255005
1652587670.9405723,931,2.6487679481506348
1652587671.5583754,932,2.5346264839172363
1652587673.4027822,935,2.4099340438842773
1652587674.6733608,937,2.5076162815093994
1652587675.6585839,938,2.485327959060669
1652587681.2802217,947,2.5257606506347656
1652587686.151939,954,2.5057625770568848
1652587696.1029346,969,2.448089838027954
1652587696.677756,970,2.5066018104553223
1652587698.5169432,973,2.3392386436462402
1652587710.9338913,992,2.384263753890991
1652587714.0582113,997,2.3998284339904785
1652587715.037966,998,2.305314302444458
1652587716.3096366,1000,2.454848527908325
1652587720.8640046,1007,2.322071075439453
1652587725.552332,1014,2.2746694087982178
1652587726.1750073,1015,2.294311285018921
1652587732.03937,1024,2.310075044631958
1652587734.882299,1028,2.2297370433807373
1652587736.0548406,1030,2.3168909549713135
1652587738.5549793,1034,2.351213216781616
1652587744.4397295,1043,2.2985503673553467
1652587749.0946035,1050,2.2118148803710938
1652587749.734043,1051,2.2645857334136963
1652587752.7805789,1056,2.440446376800537
1652587758.2677767,1064,2.16699481010437
1652587764.1696947,1073,2.5438902378082275
1652587764.7775328,1074,2.248241424560547
1652587767.8119528,1078,2.2048959732055664
1652587771.382293,1083,2.2761406898498535
1652587773.2334542,1086,2.142165184020996
1652587775.0299327,1088,2.2031443119049072
1652587777.2644122,1091,2.2269577980041504
1652587779.1784902,1094,2.1401607990264893
1652587782.2600374,1098,2.7696492671966553
1652587787.237483,1106,2.08306622505188
1652587792.5845637,1114,2.2555601596832275
1652587795.3936787,1118,2.1283719539642334
1652587797.2651565,1121,2.0877346992492676
1652587797.8704643,1122,2.2399792671203613
1652587801.9942937,1128,2.0836081504821777
1652587802.5867193,1129,2.1819472312927246
1652587808.2623496,1137,2.053571939468384
1652587810.9990675,1141,2.232185125350952
1652587811.5962653,1142,2.6559276580810547
1652587812.2254436,1143,2.0613245964050293
1652587813.447076,1145,2.131303548812866
1652587815.641858,1148,2.0509119033813477
1652587819.9561818,1155,2.2023611068725586
1652587820.5537295,1156,2.166182279586792
1652587825.8679156,1164,2.1059374809265137
1652587826.5061386,1165,2.1058881282806396
1652587832.464297,1174,2.075345993041992
1652587835.3132544,1178,2.048783302307129
1652587836.558817,1180,2.080906867980957
1652587838.4683876,1183,2.0156564712524414
1652587842.0524404,1188,1.9808248281478882
1652587842.6393538,1189,2.2109901905059814
1652587843.8759582,1191,1.9739326238632202
1652587844.5055091,1192,2.046346664428711
1652587845.1383536,1193,2.016982078552246
1652587848.7090967,1198,2.1198482513427734
1652587857.6449842,1212,1.9755271673202515
1652587863.6117005,1221,2.005514621734619
1652587867.3147118,1227,1.9989311695098877
1652587871.933575,1234,1.9265471696853638
1652587872.5497372,1235,1.9127774238586426
1652587878.4722016,1244,1.9060564041137695
1652587883.0603821,1251,1.9426075220108032
1652587890.8262053,1263,1.9655311107635498
1652587895.4921165,1270,1.9025747776031494
1652587896.724389,1272,1.8728501796722412
1652587899.2378392,1276,2.257126808166504
1652587906.3601677,1286,1.8502525091171265
1652587907.0340288,1287,1.8653638362884521
1652587909.1746933,1290,1.8995513916015625
1652587912.341638,1295,2.034299612045288
1652587915.1313434,1299,1.8820414543151855
1652587923.6088922,1312,1.9937222003936768
1652587925.4937978,1315,1.8564691543579102
1652587929.560068,1321,1.7948315143585205
1652587930.175461,1322,1.8310903310775757
1652587930.7796996,1323,1.9058271646499634
1652587941.522956,1339,1.7886959314346313
1652587952.9945333,1357,1.7526980638504028
1652587957.474482,1363,1.8512818813323975
1652587961.9085612,1370,1.757648229598999
1652587966.2359426,1376,1.7244391441345215
1652587968.9073985,1380,1.7833566665649414
1652587970.6021588,1382,1.8566243648529053
1652587971.865003,1384,1.730427861213684
1652587975.865353,1390,1.7903019189834595
1652587978.1672988,1393,1.752933382987976
1652587979.4314084,1395,1.862715244293213
1652587981.329963,1398,1.7411284446716309
1652587983.1932423,1401,1.7252473831176758
1652587985.445348,1404,1.825657606124878
1652587991.351252,1413,1.7276216745376587
1652587992.5859933,1415,1.6818286180496216
1652588000.374869,1427,1.6716316938400269
1652588000.994213,1428,1.7776676416397095
1652588001.5925703,1429,1.7490692138671875
1652588011.155585,1443,1.6804195642471313
1652588013.6033196,1447,1.7386842966079712
1652588016.1919918,1451,1.6633847951889038
1652588019.0432925,1455,1.655365228652954
1652588019.6574647,1456,1.736478567123413
1652588021.5158203,1459,1.659337043762207
1652588022.731956,1461,1.703310489654541
1652588024.6205819,1463,1.65841543674469
1652588029.5846825,1471,1.668035626411438
1652588031.186422,1473,1.8390710353851318
1652588033.0744295,1476,1.6007965803146362
1652588034.9202075,1479,1.6651382446289062
1652588037.158373,1482,1.6407618522644043
1652588038.3326263,1484,1.6400518417358398
1652588040.2129285,1487,1.6281580924987793
1652588042.0844934,1490,1.6715084314346313
1652588052.6325195,1506,1.5900282859802246
1652588057.3113775,1513,1.589005470275879
1652588060.4611068,1518,1.6094186305999756
1652588061.1270463,1519,1.748501181602478
1652588061.7057586,1520,1.615248680114746
1652588063.2998185,1522,1.6467809677124023
1652588063.8792422,1523,1.6255449056625366
1652588065.1061738,1525,1.644187331199646
1652588066.3284607,1527,1.6302285194396973
1652588068.7907386,1531,2.347914695739746
1652588071.586112,1535,1.7161399126052856
1652588074.6774895,1540,1.5576740503311157
1652588076.2398155,1542,1.5578573942184448
1652588080.555051,1549,1.544352650642395
1652588082.7898033,1552,1.772938847541809
1652588086.0254524,1557,1.6076674461364746
1652588088.5089114,1561,1.540497899055481
1652588092.0839753,1566,1.5603086948394775
1652588093.262197,1568,1.639500379562378
1652588093.915875,1569,1.6172505617141724
1652588100.496758,1579,1.5308423042297363
1652588101.1279528,1580,1.551064372062683
1652588103.940281,1584,1.5206173658370972
1652588105.8260224,1587,1.5163203477859497
1652588107.8181155,1590,1.5329583883285522
1652588108.4469438,1591,1.5810688734054565
1652588110.7083461,1594,1.5345691442489624
1652588111.3717182,1595,1.5786510705947876
1652588112.6622622,1597,1.5135235786437988
1652588116.3863602,1602,1.6998229026794434
1652588117.018625,1603,1.5922232866287231
1652588121.6061323,1610,1.8138175010681152
1652588122.2339797,1611,1.7746257781982422
1652588125.0991626,1615,1.5133031606674194
1652588126.3809419,1617,1.5363792181015015
1652588127.667114,1619,1.4902620315551758
1652588130.5240052,1623,1.500326156616211
1652588138.218843,1633,1.5497075319290161
1652588139.4493248,1635,1.4912875890731812
1652588140.6774065,1637,1.4710220098495483
1652588141.2935703,1638,1.5360463857650757
1652588144.04705,1642,1.5215449333190918
1652588145.9639463,1645,1.4957102537155151
1652588151.1741056,1653,1.4799898862838745
1652588153.5979543,1657,1.4637954235076904
1652588162.555019,1671,1.4262970685958862
1652588165.2750561,1675,1.465362787246704
1652588166.4875114,1677,1.4740221500396729
1652588169.8441842,1682,1.4970862865447998
1652588170.422966,1683,1.4698818922042847
1652588171.6462345,1685,1.449751615524292
1652588172.8472571,1687,1.5294396877288818
1652588173.4496474,1688,1.4936457872390747
1652588174.667061,1690,1.5005431175231934
1652588176.2072494,1692,1.8262534141540527
1652588176.778638,1693,1.4281002283096313
1652588181.0268824,1700,1.4038959741592407
1652588183.1632218,1703,1.4223753213882446
1652588186.1902058,1708,1.3992422819137573
1652588193.768858,1720,1.3866251707077026
1652588196.5037966,1724,1.4113339185714722
1652588198.3166468,1727,1.3844927549362183
1652588204.7913241,1737,1.4110956192016602
1652588208.8703718,1743,1.4321714639663696
1652588209.4750657,1744,1.3824429512023926
1652588210.6762753,1746,1.3688011169433594
1652588212.5050812,1749,1.3683466911315918
1652588214.6728985,1752,1.5019457340240479
1652588215.2506545,1753,1.4432909488677979
1652588215.8438725,1754,1.382562279701233
1652588222.306762,1764,1.3785219192504883
1652588222.9164417,1765,1.3784213066101074
1652588223.5271401,1766,1.387621521949768
1652588224.7416878,1768,1.39177405834198
1652588233.331748,1780,1.3585261106491089
1652588234.045953,1781,1.3376809358596802
1652588235.0618908,1782,1.3894333839416504
1652588235.713779,1783,1.3778023719787598
1652588241.989461,1791,1.3446438312530518
1652588248.526748,1800,1.6170381307601929
1652588264.2013798,1817,1.3722468614578247
1652588274.2288578,1831,1.353028416633606
1652588276.8780825,1835,1.4087748527526855
1652588277.94872,1836,1.3391029834747314
1652588279.4374104,1838,1.3068569898605347
1652588286.2949004,1846,1.3751410245895386
1652588288.098767,1848,1.315845251083374
1652588291.0672243,1852,1.4923830032348633
1652588299.4578834,1862,1.3763079643249512
1652588305.2645452,1870,1.3019237518310547
1652588305.9238257,1871,1.2825379371643066
1652588313.5233698,1882,1.4534164667129517
1652588319.7153194,1890,1.292312741279602
1652588325.0047793,1896,1.2862359285354614
1652588325.757471,1897,1.2792640924453735
1652588327.541243,1899,1.3357504606246948
1652588329.3953555,1901,1.2948143482208252
1652588333.2557673,1906,1.2658964395523071
1652588347.365258,1925,1.2623177766799927
1652588352.506214,1931,1.3144724369049072
1652588353.2824454,1932,1.2912453413009644
1652588360.7686126,1942,1.2353577613830566
1652588362.25865,1944,1.3427073955535889
1652588365.0465357,1947,1.24782395362854
1652588365.7865686,1948,1.256696343421936
1652588366.540078,1949,1.2322133779525757
1652588374.9980202,1960,1.2254630327224731
1652588377.0444434,1963,1.2645938396453857
1652588381.440545,1969,1.220061182975769
1652588384.8090355,1974,1.4486219882965088
1652588386.5164912,1976,1.234049916267395
1652588387.8667355,1978,1.2126160860061646
1652588389.4693968,1980,1.2480360269546509
1652588395.8282037,1989,1.2370235919952393
1652588398.6093085,1993,1.1949450969696045
1652588401.6801772,1997,1.2077209949493408
1652588403.0157952,1999,1.2384165525436401
1652588405.0455258,2002,1.5032069683074951
1652588411.5365767,2011,1.1716153621673584
1652588412.20539,2012,1.2383735179901123
1652588419.447988,2022,1.1634864807128906
1652588420.784697,2024,1.1924991607666016
1652588429.629518,2036,1.1638996601104736
1652588430.2715447,2037,1.2150382995605469
1652588430.9824562,2038,1.5407510995864868
1652588431.688439,2039,1.2832635641098022
1652588433.711173,2042,1.1693785190582275
1652588436.9136388,2046,1.166691780090332
1652588440.965162,2052,1.2151449918746948
1652588441.6415255,2053,1.2137866020202637
1652588444.060506,2056,1.1780424118041992
1652588449.79441,2064,1.144959807395935
1652588453.498491,2069,1.2264572381973267
1652588455.574229,2072,1.1340034008026123
1652588457.6215496,2075,1.1582202911376953
1652588458.6925411,2076,1.1521083116531372
1652588462.7611687,2082,1.1369789838790894
1652588464.1486156,2084,1.1446514129638672
1652588468.6317587,2090,1.1407901048660278
1652588470.7221947,2093,1.5951248407363892
1652588473.207652,2096,1.225543737411499
1652588476.6271565,2101,1.1366444826126099
1652588490.6144624,2120,1.1159863471984863
1652588493.4525094,2124,1.193865180015564
1652588495.2850058,2126,1.1148866415023804
1652588498.7282736,2131,1.1239211559295654
1652588502.665005,2136,1.1160558462142944
1652588512.6535442,2149,1.1152132749557495
1652588515.8693666,2153,1.1074371337890625
1652588518.4363403,2156,1.12192702293396
1652588529.4105527,2171,1.0944355726242065
1652588537.183544,2182,1.096832513809204
1652588537.877322,2183,1.1051396131515503
1652588540.3325493,2186,1.0902609825134277
1652588544.4846196,2192,1.0706462860107422
1652588549.793418,2199,1.1159522533416748
1652588550.521327,2200,1.2188160419464111
1652588551.3926802,2201,1.0771682262420654
1652588552.2831044,2202,1.0708202123641968
1652588553.0740428,2203,1.076457142829895
1652588553.7732196,2204,1.1118842363357544
1652588559.6104383,2212,1.1066453456878662
1652588576.3374379,2235,1.1288738250732422
1652588577.416365,2236,1.0627045631408691
1652588578.0662103,2237,1.1089937686920166
1652588582.979472,2244,1.0650253295898438
1652588590.8371933,2255,1.0841091871261597
1652588592.546169,2257,1.5913746356964111
1652588601.1156392,2269,1.4062268733978271
1652588602.1634648,2270,1.1798628568649292
1652588604.3377695,2273,1.0455331802368164
1652588605.6890008,2275,1.0428012609481812
1652588606.3609774,2276,1.087483286857605
1652588607.7423296,2278,1.0485913753509521
1652588622.6743543,2297,1.0815842151641846
1652588626.4886448,2302,1.3754982948303223
1652588628.5712276,2305,1.029036283493042
1652588630.6503332,2308,1.0471853017807007
1652588637.4299824,2317,1.0160893201828003
1652588638.1122172,2318,1.0469058752059937
1652588643.9362946,2324,1.0263009071350098
1652588645.5762196,2326,1.0307338237762451
